Description,Basic Unit,Beginning Balance ,Quantity Received ,Quantity Dispensed ,Losses and Adjustments,Ending Balance (Physical Count)
Tab. Gecrol,500's,450,0,0,0,0
Tab. Ibuprofen 400mg,500's,1500,0,0,0,0
Tab. Ibuprofen 400mg,500's,1500,0,0,0,0
Tab. Ibuprofen 400mg,500's,1500,0,0,0,0
Tab. Levamisole,500's,700,0,0,0,0
Tab. Levamisole,500's,700,0,0,0,0
Tab. Levamisole,500's,700,0,0,0,0
Tab. Pyrimethamine 25mg,500's,2700,0,0,0,0
Tab. Pyrimethamine 25mg,500's,2700,0,0,0,0
Tab. Pyrimethamine 25mg,500's,2700,0,0,0,0
Tab. Salbutamol 4mg,500's,950,0,0,0,0
Tab. Salbutamol 4mg,500's,950,0,0,0,0
Tab. Salbutamol 4mg,500's,950,1,950,0,1
Tab. Slow K,500's,4000,0,0,0,0
Tab. Slow K,500's,4000,0,0,0,0
Tab. Slow K,500's,4000,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,0,0,0,0,0
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,0,0,0,1
Tabs Salbutamol 4mg,500's,1,1,0,0,1
Tabs Salbutamol 4mg,500's,0,1,0,0,1
Tabs Salbutamol 4mg,500's,0,1,0,0,1
Tabs Salbutamol 4mg,500's,0,1,0,0,1
Tabs Salbutamol 4mg,500's,0,1,0,0,1
Tabs Salbutamol 4mg,500's,0,1,0,0,1
Tabs Salbutamol 4mg,500's,1,1,1,0,1
Tabs Salbutamol 4mg,500's,0,1,1,0,0
Tabs Salbutamol 4mg,500's,0,1,1,0,0
Tabs Salbutamol 4mg,500's,1,0,1,0,1
Canular Pink,50's,3.5,3,3.5,0,3
Canular yellow,50's,4.2,0,0.8,0,3.4
I.V Cannula   Green,50's,60,0,0,0,0
I.V Cannula   Green,50's,60,0,0,0,0
I.V Cannula   Green,50's,60,0,0,0,0
I.V Cannula  Pink 20G,50's,4500,1,4500,3,4
I.V Cannula  Pink 20G,50's,4500,2,9000,2,4
I.V Cannula  Pink 20G,50's,4500,1,4500,3,4
I.V Cannula  Yellow 24G,50's,4500,0,0,4,4
I.V Cannula  Yellow 24G,50's,4500,1,4500,3,4
I.V Cannula  Yellow 24G,50's,4500,1,4500,2,3
I.V Cannula Blue 22G,50's,4500,0,0,1,1
I.V Cannula Blue 22G,50's,4500,1,4500,1,2
I.V Cannula Blue 22G,50's,4500,1,4500,0,1
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,0,0,0,0,0
Inj Aminophyline,50's,10,0,0,0,10
Inj Aminophyline,50's,0,1,0,0,1
Inj Aminophyline,50's,0,50,0,O,50
Inj Aminophyline,50's,0,10,0,0,10
Inj Aminophyline,50's,0,1,0,0,1
Inj Aminophyline,50's,1,1,1,0,1
Inj Aminophyline,50's,50,50,5,0,45
Inj Aminophyline,50's,50,0,5,0,45
Inj Aminophyline,50's,10,0,5,0,5
Inj.Aminophylline,50's,2100,1,2100,1,2
Inj.Aminophylline,50's,2100,1,2100,0,1
Inj.Aminophylline,50's,2100,1,2100,0,1
Surgical Glove,50's,4500,0,0,5,5
Surgical Glove,50's,4500,0,0,5,5
Surgical Glove,50's,4500,1,4500,5,6
Surgical Glove,50's,1.2,6,4.5,0,2.7
Surgical gloves,50's,0,1,0,0,1
Tab. Nifecard 20mg,50's,910,0,0,0,0
Tab. Nifecard 20mg,50's,910,0,0,0,0
Tab. Nifecard 20mg,50's,910,0,0,0,0
Tab. Simvastin 10mg,50's,1250,0,0,0,0
Tab. Simvastin 10mg,50's,1250,0,0,0,0
Tab. Simvastin 10mg,50's,1250,0,0,0,0
Tab. Stugeron,50's,2100,0,0,1,1
Tab. Stugeron,50's,2100,0,0,1,1
Tab. Stugeron,50's,2100,1,2100,0,1
Susp Metronidazole,60ml,100,0,0,50,50
Susp Metronidazole,60ml,100,0,0,100,100
Susp Metronidazole,60ml,100,70,7000,0,70
Syr Ibuprofen,60ml,150,0,0,0,0
Syr Ibuprofen,60ml,150,0,0,0,0
Syr Ibuprofen,60ml,150,0,0,0,0
Inj Arthemeter 80mg,60's,50,0,0,0,0
Inj Arthemeter 80mg,60's,3000,0,0,0,0
Inj Arthemeter 80mg,60's,50,0,0,0,0
Inj Arthemeter 80mg,60's,3000,0,0,0,0
Inj Arthemeter 80mg,60's,50,0,0,0,0
Inj Arthemeter 80mg,60's,3000,0,0,17,17
Clotrimazole Vag. Pessaries,6's,350,0,0,0,0
Clotrimazole Vag. Pessaries,6's,250,10,2500,0,10
Clotrimazole Vag. Pessaries,6's,350,5,1750,0,5
Clotrimazole Vag. Pessaries,6's,350,5,1750,0,5
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,0,0,0,0
Pessaries Clortrimazole 0.01,6's,0,20,0,0,20
Tab Artemether/Lumefantrine,6's,7,0,7,0,0
Tab Azithromycin 250mg,6's,20,0,1,0,19
Tab Mebendazole 100mg,6's,18,20,12,0,26
Tab. Arthemeter/Lumefantrine,6's,90,0,0,0,0
Tab. Arthemeter/Lumefantrine,6's,90,0,0,0,0
Tab. Arthemeter/Lumefantrine,6's,90,0,0,0,0
Tab. Arthemeter/Lumefantrine (Elbe),6's,370,0,0,50,50
Tab. Arthemeter/Lumefantrine (Elbe),6's,370,10,3700,49,59
Tab. Arthemeter/Lumefantrine (Elbe),6's,370,20,7400,0,20
Tab. Azithromycin 250mg,6's,600,10,6000,20,30
Tab. Azithromycin 250mg,6's,600,10,6000,0,10
Tab. Azithromycin 250mg,6's,600,20,12000,0,20
Tab. Mebendazole,6's,40,0,0,0,0
Tab. Mebendazole,6's,40,0,0,0,0
Tab. Mebendazole,6's,40,0,0,0,0
Tab. Pyrantel pamoate,6's,300,0,0,0,0
Tab. Pyrantel pamoate,6's,300,0,0,0,0
Tab. Pyrantel pamoate,6's,300,0,0,0,0
Oral Rehydration Solution (ORS) + Zinc (2+1) Kit,70,0,50,0,0,21
PHONE NUMBER,8061317680,0,0,0,0,0
PHONE NUMBER,8061317680,0,0,0,0,0
PHONE NUMBER,8061317680,0,0,0,0,0
Tab. P-Alaxin,8's,450,0,0,0,0
Tab. P-Alaxin,8's,450,0,0,0,0
Tab. P-Alaxin,8's,450,0,0,0,0
Inj Aminophyline,Amp,6,50,3,0,53
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,0,0,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,100,0,0,0,100
inj Anti tetanus Serum (ATS) 1500i.u,Amp,6,0,0,0,6
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,5,0,0,0,5
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,10,0,0,10
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,50,50,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,0,50,50,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,3,0,7
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,6,0,4
inj Anti tetanus Serum (ATS) 1500i.u,Amp,8,0,3,0,5
inj Anti tetanus Serum (ATS) 1500i.u,Amp,7,0,1,0,6
inj Anti tetanus Serum (ATS) 1500i.u,Amp,3,0,2,0,1
inj Anti tetanus Serum (ATS) 1500i.u,Amp,1,0,1,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,2,0,2,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,10,0,10,0,0
inj Anti tetanus Serum (ATS) 1500i.u,Amp,4,0,4,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,0,0,0,0
Inj Artmether 80mg/ml,Amp,0,1,1,0,0
Inj ATS,Amp,280,40,11200,0,40
Inj ATS,Amp,280,40,11200,0,40
Inj ATS,Amp,280,40,11200,0,40
Inj Chlorpromazine,Amp,7,0,0,0,0
Inj Cimetidine,Amp,5,0,0,0,5
Inj Diazepam 10mg/ml,Amp,4,30,26,0,8
inj Gentamicin 80mg,Amp,94,0,45,0,49
Inj Hydrallazine,Amp,17,0,1,0,16
Inj Magnesium sulphate,Amp,500,0,0,0,0
Inj Magnesium sulphate,Amp,500,0,0,10,10
Inj Magnesium sulphate,Amp,500,5,2500,0,5
Inj Magnesium sulphate,Amp,7,0,6,0,1
Inj Metoclopramide,Amp,48,100,104,0,44
Inj Oxytocin,Amp,0,0,0,0,0
Inj Paraldehyde,Amp,4,5,2,0,7
Inj Paraldehyde,Amp,400,2,800,0,2
Inj Paraldehyde,Amp,400,7,2800,0,7
Inj Paraldehyde,Amp,400,7,2800,0,7
Inj Pentazocin,Amp,16,0,16,0,0
Inj Quinine,Amp,59,0,3,0,56
Inj Ranitidine,Amp,250,0,0,0,0
Inj Ranitidine,Amp,250,0,0,0,0
Inj Ranitidine,Amp,250,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
inj Tetanus Toxoid 0.5ml,Amp,0,0,0,0,0
